"NormalisedOccupation","Occupation"
"other","ups/student"
"other","UQAM student"
"Other","widow"
"Other","wife"
"Scientist","agrobiologist"
"Scientist","agrologist"
"Scientist","agronomist"
"Scientist","agronomist and appraiser"
"Scientist","alternative energy research"
"Scientist","analytical chemist"
"Scientist","anthropologist"
"Scientist","astrologer"
"Scientist","biologist"
"Scientist","biologist, organic grower"
"Scientist","chemist"
"Scientist","climatologist"
"Scientist","consulting geologist"
"Scientist","demographer"
"Scientist","eco-forester"
"Scientist","ecological agriculturist"
"Scientist","ecologist"
"Scientist","environmental and development specialist"
"Scientist","environmental health specialist"
"Scientist","environmental planner"
"Scientist","environmental researcher"
"Scientist","environmental tech"
"Scientist","environmental technician"
"Scientist","environmentalist"
"Scientist","fisheries biologist"
"Scientist","forester/biologist"
"Scientist","gemolgist"
"Scientist","geographer"
"Scientist","geological laboratory technician"
"Scientist","geologist"
"Scientist","geologist (P.Geo.)"
"Scientist","geologist, businessman"
"Scientist","geophysicist"
"Scientist","health policy advisor"
"Scientist","health policy analyst"
"Scientist","horticulturalist"
"Scientist","horticulturist"
"Scientist","instruments technician"
"Scientist","inventor"
"Scientist","inventor, electrician"
"Scientist","inventor, scientist"
"Scientist","lab supervisor, nutrientist"
"Scientist","lab technician"
"Scientist","laboratory technician"
"Scientist","laboratory technologist"
"Scientist","manager/chemist"
"Scientist","manufacturing chemist"
"Scientist","marine biologist"
"Scientist","mathematician"
"Scientist","medical cannabis researcher"
"Scientist","metallurgist"
"Scientist","methods analyst"
"Scientist","microbiologist"
"Scientist","microbiology technical specialist"
"Scientist","mining geologist"
"Scientist","molecular Biologist"
"Scientist","naval electronics technician"
"Scientist","nuclear medicine technologist"
"Scientist","nuclear scientist"
"Scientist","oceanographer"
"Scientist","pharmaceutical chemist"
"Scientist","pharmacist"
"Scientist","pharmacologist"
"Scientist","philosopher"
"Scientist","physicist"
"Scientist","physicist and educator"
"Scientist","political research analyst"
"Scientist","political researcher"
"Scientist","political science"
"Scientist","political science graduate"
"Scientist","political science instructor"
"Scientist","political scientist"
"Scientist","professional forester"
"Scientist","professional geologist"
"Scientist","public health researcher"
"Scientist","publications, electronics"
"Scientist","renewable energy consultant"
"Scientist","research"
"Scientist","research analyst"
"Scientist","research and development"
"Scientist","research and development technician"
"Scientist","research associate"
"Scientist","research chemist"
"Scientist","research consultant"
"Scientist","research director"
"Scientist","research economist"
"Scientist","research engineer"
"Scientist","research ethics officer"
"Scientist","research manager"
"Scientist","research project manager"
"Scientist","research scholar (Ph.D. in law)"
"Scientist","research scientist"
"Scientist","research technologist"
"Scientist","research worker"
"Scientist","researcher"
"Scientist","researcher - writer"
"Scientist","researcher in consciousness"
"Scientist","researcher self-employed"
"Scientist","researcher-writer"
"Scientist","researcher, editor"
"Scientist","researcher, free-lance, journalist"
"Scientist","researcher, writer"
"Scientist","researchist"
"Scientist","resource technician, union rep."
"Scientist","retired research scientist"
"Scientist","science consultant"
"Scientist","science educator"
"Scientist","scientific worker"
"Scientist","scientist"
"Scientist","scientist - researcher"
"Scientist","senior research & development technician"
"Scientist","social researcher"
"Scientist","social science"
"Scientist","sociologist"
"Scientist","sociologist and administrator"
"Scientist","sociologist, administrator"
"Scientist","sociologist, consultant"
"Scientist","sociologist, landscape gardener"
"Scientist","sociologist/consultant"
"Scientist","statistician"
"Scientist","system analyst"
"Scientist","systems analyst"
"Scientist","systems consultant"
"Scientist","systems coordinator"
"Scientist","technical adviser"
"Scientist","technical advisor"
"Scientist","technical agent"
"Scientist","technical assistant"
"Scientist","technical clerk"
"Scientist","technical communicator"
"Scientist","technical consultant"
"Scientist","technical director"
"Scientist","technologist"
"Scientist","technologist (electronics)"
"Scientist","test analyst"
"Scientist","unemployed chemist"
"Scientist","urban health analyst"
"Scientist","water plant operator"
"Scientist","water plant technician"
"Scientist","weather observer"
"Scientist","weatherman"
"Scientist","zoologist"
"Teacher","academic"
"Teacher","adult education"
"Teacher","adult education teacher"
"Teacher","adult educator"
"Teacher","agriculture teacher"
"Teacher","anti racism and human rights educator"
"Teacher","art historian"
"Teacher","art teacher"
"Teacher","assistant principal"
"Teacher","assistant professor"
"Teacher","assistant professor of social work"
"Teacher","assistant school principal"
"Teacher","assistant vice-president"
"Teacher","associate professor"
"Teacher","chemist/professor"
"Teacher","coach, cross country skiing"
"Teacher","college administrator"
"Teacher","college English teacher"
"Teacher","college instructor"
"Teacher","college instructor, geographer"
"Teacher","college president"
"Teacher","college principal"
"Teacher","college professor"
"Teacher","college teacher"
"Teacher","college teacher (retired)"
"Teacher","consultant, teacher"
"Teacher","continuation school principal"
"Teacher","criminal justice instructor"
"Teacher","cross cultural trainer"
"Teacher","cross-country ski coach"
"Teacher","CSDM school vice-principal"
"Teacher","dean of men"
"Teacher","dean of men, student affairs, university"
"Teacher","dean of residence - res. life officer"
"Teacher","dean of students"
"Teacher","dean/professor"
"Teacher","development educator"
"Teacher","doctor of traditional Chinese medicine"
"Teacher","doctoral candidate, student"
"Teacher","doctorate"
"Teacher","driving instructor"
"Teacher","E.S.L. instructor"
"Teacher","early childhood educator"
"Teacher","educational training"
"Teacher","educationalist"
"Teacher","educationalist and lecturer"
"Teacher","educationist"
"Teacher","educator"
"Teacher","educator - retired"
"Teacher","educator - writer"
"Teacher","educator (retired)"
"Teacher","educator and consultant"
"Teacher","educator and scientist"
"Teacher","educator, administrator"
"Teacher","educator, businessman"
"Teacher","educator, councillor"
"Teacher","educator, farmer"
"Teacher","educator, social worker"
"Teacher","educator, teacher"
"Teacher","educator/business person"
"Teacher","educator/outreach worker"
"Teacher","electrical instructor"
"Teacher","electronics instructor"
"Teacher","elementary school principal"
"Teacher","elementary school teacher"
"Teacher","elementary vice principal"
"Teacher","employment coach - facilitator"
"Teacher","employment consellor - teacher"
"Teacher","engineering professor"
"Teacher","English instructor"
"Teacher","environmental educator"
"Teacher","esl instructor"
"Teacher","esl teacher"
"Teacher","esl tutorer"
"Teacher","farm instructor"
"Teacher","fisherman, professor"
"Teacher","flight instructor"
"Teacher","flying instructor"
"Teacher","former school principal"
"Teacher","French professor"
"Teacher","graduate teaching assistant"
"Teacher","guest lecturer"
"Teacher","guidance consultant"
"Teacher","guidance counsellor"
"Teacher","health counsellor, lecturer"
"Teacher","health educator"
"Teacher","health practitioner and educator"
"Teacher","high school chemistry teacher"
"Teacher","high school commercial director"
"Teacher","high school principal"
"Teacher","high school teacher"
"Teacher","high school vice-principal"
"Teacher","history professor"
"Teacher","history teacher"
"Teacher","homemaker, supply teacher"
"Teacher","housewife, teacher"
"Teacher","inspector/educator"
"Teacher","instructor"
"Teacher","instructor - E.S.L."
"Teacher","instructor, administrator, college"
"Teacher","instructor, transcendental  meditation"
"Teacher","kindergarten teacher"
"Teacher","language teacher"
"Teacher","law college dean"
"Teacher","law professor"
"Teacher","law teacher"
"Teacher","lecturer"
"Teacher","lecturer in Christian ethics"
"Teacher","lecturer in law"
"Teacher","lecturer, ESF UQUAM"
"Teacher","lecturer, researcher"
"Teacher","lecturer, university geography dept."
"Teacher","lecturer, writer"
"Teacher","math instructor"
"Teacher","mathematics professor"
"Teacher","mathematics teacher"
"Teacher","mechanics teacher"
"Teacher","media education consultant"
"Teacher","media instructor"
"Teacher","mentor"
"Teacher","movement education"
"Teacher","music instructor"
"Teacher","music teacher"
"Teacher","musician and vocal instructor"
"Teacher","nait instructor"
"Teacher","nursery school teacher"
"Teacher","nursing instructor"
"Teacher","occasional substitute"
"Teacher","occasional teacher"
"Teacher","organic educator"
"Teacher","physical education instructor"
"Teacher","physical education teacher"
"Teacher","physical educator"
"Teacher","principal"
"Teacher","principal elementary school"
"Teacher","principal of institute"
"Teacher","principal teacher"
"Teacher","principal, teacher"
"Teacher","professional trainer"
"Teacher","professor"
"Teacher","professor - c�gep"
"Teacher","professor (retired)"
"Teacher","professor / lawyer"
"Teacher","professor emeritus"
"Teacher","professor of business administration"
"Teacher","professor of ecology"
"Teacher","professor of economics"
"Teacher","professor of education"
"Teacher","professor of electrical engineering"
"Teacher","professor of engineering"
"Teacher","professor of history"
"Teacher","professor of industrial relations"
"Teacher","professor of law"
"Teacher","professor of philosophy"
"Teacher","professor of physics"
"Teacher","professor of political science"
"Teacher","professor, businessman"
"Teacher","professor, farmer"
"Teacher","professor, freelance journalist"
"Teacher","professor, geologist, manager"
"Teacher","professor, St. Lawrence College"
"Teacher","professor/lawyer"
"Teacher","psychic/lecturer"
"Teacher","psycho-educational consultant"
"Teacher","psychoeducator"
"Teacher","public educator"
"Teacher","public school teacher"
"Teacher","publisher and teacher"
"Teacher","relaxation teacher"
"Teacher","remedial teacher"
"Teacher","research assistant"
"Teacher","retired (high school teacher)"
"Teacher","retired college professor"
"Teacher","retired educator"
"Teacher","retired high school teacher"
"Teacher","retired instructor"
"Teacher","retired principal"
"Teacher","retired professor"
"Teacher","retired school principal"
"Teacher","retired school superintendent"
"Teacher","retired school teacher"
"Teacher","retired secondary school teacher"
"Teacher","retired teacher"
"Teacher","retired teacher - farmer"
"Teacher","retired teacher & law clerk"
"Teacher","retired teacher, librarian"
"Teacher","retired teacher, small business"
"Teacher","retired teacher/farmer"
"Teacher","retired teacher/principal"
"Teacher","retired university professor"
"Teacher","retired, teaching"
"Teacher","retiree/guidance counsellor"
"Teacher","sailing instructor"
"Teacher","school administrator"
"Teacher","school principal"
"Teacher","school teacher"
"Teacher","school teacher and farmer"
"Teacher","school teacher, businessman"
"Teacher","school vice principal"
"Teacher","school vice-principal"
"Teacher","schoolteacher"
"Teacher","schoolteacher and farmer"
"Teacher","secondary school principal"
"Teacher","secondary school teacher"
"Teacher","senior instructor"
"Teacher","sessional lecturer"
"Teacher","shop technical teacher"
"Teacher","sociology professor"
"Teacher","special education assistant/health care worker"
"Teacher","special education teacher"
"Teacher","staff member, McMaster"
"Teacher","substitute teacher"
"Teacher","supply teacher"
"Teacher","supply teacher and actor"
"Teacher","supply teacher Western School Board"
"Teacher","teacher"
"Teacher","teacher  high school"
"Teacher","teacher - community development worker"
"Teacher","teacher - farmer"
"Teacher","teacher - fisherman"
"Teacher","teacher - former public servant"
"Teacher","teacher - musician"
"Teacher","teacher (CJEP)"
"Teacher","teacher (retired)"
"Teacher","teacher (retired)/farmer"
"Teacher","teacher (retired)/prayer canada sask. Overseer"
"Teacher","teacher & businessman"
"Teacher","teacher and businessman"
"Teacher","teacher and farmer"
"Teacher","teacher and journalist"
"Teacher","teacher and law student"
"Teacher","teacher and real estate broker"
"Teacher","teacher consultant"
"Teacher","teacher of T. M."
"Teacher","teacher of T.M. technique"
"Teacher","teacher of the physically handicapped"
"Teacher","teacher, actor, director"
"Teacher","teacher, businessman"
"Teacher","teacher, community worker"
"Teacher","teacher, counsellor"
"Teacher","teacher, department head"
"Teacher","teacher, engineer"
"Teacher","teacher, farmer"
"Teacher","teacher, fisherman"
"Teacher","teacher, homemaker"
"Teacher","teacher, librarian"
"Teacher","teacher, musician"
"Teacher","teacher, principal"
"Teacher","teacher, rancher"
"Teacher","teacher, researcher"
"Teacher","teacher, secondary school"
"Teacher","teacher, social worker"
"Teacher","teacher, student"
"Teacher","teacher, trainer"
"Teacher","teacher, transcendental meditation"
"Teacher","teacher, tree planter"
"Teacher","teacher, unemployed"
"Teacher","teacher, vice-principal"
"Teacher","teacher, writer"
"Teacher","teacher/administrator"
"Teacher","teacher/broadcaster"
"Teacher","teacher/contractor"
"Teacher","teacher/entertainer"
"Teacher","teacher/farmer"
"Teacher","teacher/fisher"
"Teacher","teacher/fisherman"
"Teacher","teacher/journalist"
"Teacher","teacher/minister"
"Teacher","teacher/vice-principal"
"Teacher","teaching assistant"
"Teacher","teaching consultant"
"Teacher","teaching professional"
"Teacher","temporary lecturer"
"Teacher","tennis instructor"
"Teacher","trainer"
"Teacher","trainer + consultant"
"Teacher","tutor"
"Teacher","university admissions director"
"Teacher","university consultant"
"Teacher","university dean"
"Teacher","university director"
"Teacher","university educator"
"Teacher","university instructor"
"Teacher","university lab instructor"
"Teacher","university lecturer"
"Teacher","university lecturer and secondary school teacher"
"Teacher","university lecturer/director"
"Teacher","university president"
"Teacher","university professor"
"Teacher","university stewardship officer"
"Teacher","university student"
"Teacher","university student, biology"
"Teacher","university teacher"
"Teacher","university teacher (P.E.I.)"
"Teacher","university/college lecturer"
"Teacher","vice-principal"
"Teacher","vice-principal (retired)"
"Teacher","violin teacher"
"Teacher","vocational counsellor"
"Teacher","vocational educator"
"Teacher","arts educator"
"Trades","3D printing designer"
"Trades","accounts Payable Coordinator"
"Trades","accounts receivable clerk"
"Trades","acoustical carpenter"
"Trades","active messenger (retired)"
"Trades","addressing-machine operator"
"Trades","adjoint administratif"
"Trades","adjuster, mechanic"
"Trades","administration"
"Trades","administration - education"
"Trades","administration & accounting"
"Trades","administration clerk"
"Trades","administration technician"
"Trades","administrative agent"
"Trades","administrative assistant"
"Trades","administrative assistant and political advisor"
"Trades","administrative assistant and project coordinator"
"Trades","administrative assistant labour relations"
"Trades","administrative co-ordinator"
"Trades","administrative consultant"
"Trades","administrative director"
"Trades","administrative secretary"
"Trades","administrative supervisor"
"Trades","aeronautics worker"
"Trades","aerospace consultant"
"Trades","aesthetician"
"Trades","air conditioning technician"
"Trades","air pilot"
"Trades","air traffic control"
"Trades","air traffic controller"
"Trades","aircraft mechanic"
"Trades","aircraft technician"
"Trades","aircraft template maker"
"Trades","aircraft worker"
"Trades","airline agent"
"Trades","airline pilot"
"Trades","airline pilot (retired)"
"Trades","airlines employee"
"Trades","airplane electrician"
"Trades","analyst"
"Trades","analyst - progammer"
"Trades","analyst programmer"
"Trades","analyst, programmer"
"Trades","appliance repair"
"Trades","appraiser"
"Trades","appraiser, antique & art"
"Trades","apprentice carpenter"
"Trades","apprentice cooling system specialist"
"Trades","apprentice machine operator"
"Trades","apprentice machinist"
"Trades","apprentice mechanic"
"Trades","apprentice millwright"
"Trades","apprentice printer"
"Trades","apprentice welder"
"Trades","area homes consultant"
"Trades","area manager"
"Trades","area sales consultant"
"Trades","armature winder"
"Trades","assembler"
"Trades","assembler, film"
"Trades","assembler, Lear St. Thomas"
"Trades","assembly artist"
"Trades","assembly line worker"
"Trades","assistant"
"Trades","assistant cook"
"Trades","assistant deputy minister"
"Trades","assistant detail engineer"
"Trades","assistant director"
"Trades","assistant editor"
"Trades","assistant Engineer, Detail Engineering"
"Trades","assistant executive secretary"
"Trades","assistant foreman"
"Trades","assistant general manager"
"Trades","assistant general manager, corporate planning"
"Trades","assistant harbour manager"
"Trades","assistant instructor"
"Trades","assistant locomotive foreman"
"Trades","assistant manager"
"Trades","assistant manager, human resources"
"Trades","assistant mechanic"
"Trades","assistant mine accountant"
"Trades","assistant paymaster"
"Trades","assistant shipping manager"
"Trades","assistant store manager"
"Trades","assistant supervisor"
"Trades","assistant technical specialist"
"Trades","assistant to the president"
"Trades","assistant, family and social"
"Trades","associate secretary"
"Trades","attendant"
"Trades","audio restoration and producer"
"Trades","audio visual assistant"
"Trades","audio-visual director"
"Trades","audio-visual technician"
"Trades","auto body repair"
"Trades","auto body repair, farmer"
"Trades","auto diagnostics Trainer"
"Trades","auto industry employee"
"Trades","auto mechanic"
"Trades","auto paint repairman"
"Trades","auto parts factory worker"
"Trades","auto repairs"
"Trades","auto worker"
"Trades","autobody worker"
"Trades","automatic control technician"
"Trades","automotive mechanic"
"Trades","automotive parts manager"
"Trades","automotive shop manager"
"Trades","aviation repairs, self-employed"
"Trades","aviator"
"Trades","avionics technician"
"Trades","avionics technologist"
"Trades","ayurvedic technician"
"Trades","baker"
"Trades","baker, salesman"
"Trades","bakery clerk"
"Trades","bakery deliveryman"
"Trades","bakery worker"
"Trades","ballet master"
"Trades","band technician"
"Trades","banking engineer"
"Trades","banking system engineer"
"Trades","banking systems engineer"
"Trades","banknote engraver"
"Trades","banquet coordinator"
"Trades","bar and entertainment manager"
"Trades","bar manager"
"Trades","barber"
"Trades","barber, stylist"
"Trades","bargaining agent"
"Trades","barista-Starbucks"
"Trades","bartender"
"Trades","beautician"
"Trades","behaviour counsellor"
"Trades","bell cable repair"
"Trades","Bell Canada network coordinator"
"Trades","Bell Canada technician"
"Trades","Bell technician"
"Trades","benefits clerk"
"Trades","bicycle courier"
"Trades","bicycle merchant"
"Trades","bicycle shop owner/sculptor"
"Trades","big game hunter"
"Trades","bilingual marketing coordinator"
"Trades","billing Manager"
"Trades","binder"
"Trades","bindery machine operator"
"Trades","bindery operator"
"Trades","bindery person"
"Trades","biscuit manufacturer"
"Trades","blacksmith"
"Trades","blacksmith, carrier"
"Trades","blaster"
"Trades","bleach chemist"
"Trades","block maker"
"Trades","blue-collar Worker"
"Trades","boat detailer"
"Trades","body shop manager"
"Trades","boiler maker"
"Trades","boilermaker"
"Trades","bookbinder"
"Trades","bookseller"
"Trades","bookstore clerk"
"Trades","bookstore manager"
"Trades","borrowers advocate"
"Trades","bowling lanes operator"
"Trades","box office clerk"
"Trades","box office co-ordinator"
"Trades","boxing school manager"
"Trades","brake press operator"
"Trades","brakeman"
"Trades","branch manager"
"Trades","branch supervisor"
"Trades","brewery production manager"
"Trades","brick manufacturer"
"Trades","bricklayer"
"Trades","bricklayer (Atlas Steel)"
"Trades","bricklaying contractor"
"Trades","briefing co-ordinator"
"Trades","brotherhood of railway trainmen"
"Trades","brown stock washer operator"
"Trades","builder"
"Trades","builder/developer"
"Trades","building administrator"
"Trades","building contractor"
"Trades","building inspector"
"Trades","building maintenance technician"
"Trades","building manager"
"Trades","building technician"
"Trades","bus driver"
"Trades","bus driver, business"
"Trades","bus driver/self-employed"
"Trades","bus driver/student"
"Trades","bush pilot"
"Trades","butcher"
"Trades","butcher, animator"
"Trades","C.M.A."
"Trades","C.N.M.A."
"Trades","C.N.R. employee"
"Trades","C.P.R. agent"
"Trades","cab driver"
"Trades","cabinet door manufacturer"
"Trades","cabinet minister"
"Trades","cabinetmaker"
"Trades","cable security contractor"
"Trades","cable splicer"
"Trades","cafe proprietor"
"Trades","cafeteria employee"
"Trades","call centre agent"
"Trades","call centre employee"
"Trades","call centre supervisor"
"Trades","call centre tech support"
"Trades","camera operator"
"Trades","cameraman"
"Trades","Canadian literacy"
"Trades","canner"
"Trades","canoe builder"
"Trades","canoeist"
"Trades","canvasser"
"Trades","captain"
"Trades","car checker"
"Trades","car control"
"Trades","car controller"
"Trades","cardiology ward assistant"
"Trades","care giver"
"Trades","caregiver"
"Trades","caretaker"
"Trades","carman"
"Trades","carman CN Rail"
"Trades","carman-Canadian National"
"Trades","carpenter"
"Trades","carpenter (apprentice)"
"Trades","carpenter and builder"
"Trades","carpenter foreman"
"Trades","carpenter, contractor"
"Trades","carpenter, mason"
"Trades","carpet and furniture cleaning"
"Trades","carriage builder"
"Trades","cartage agent"
"Trades","cartoonist"
"Trades","carver"
"Trades","case review officer"
"Trades","case worker"
"Trades","cashier"
"Trades","cashier (student)"
"Trades","cashier, retired"
"Trades","cashier, student"
"Trades","casual labour/welfare"
"Trades","catering supervisor"
"Trades","cdc coordinator"
"Trades","celebrant"
"Trades","cement mason"
"Trades","cement mixer, restaurateur"
"Trades","central office man"
"Trades","ceramist"
"Trades","changing"
"Trades","charwoman"
"Trades","chauffeur"
"Trades","chauffeur d'autobus"
"Trades","check, weighman"
"Trades","checker"
"Trades","cheese manufacturer"
"Trades","chef"
"Trades","chef/cook self employed"
"Trades","chemical controller"
"Trades","chemical formulator"
"Trades","chemical operator"
"Trades","chemical plant operator"
"Trades","chemical technician"
"Trades","chemical technologist"
"Trades","chemical worker"
"Trades","chief executive officer"
"Trades","chief forestry worker"
"Trades","child and youth care worker"
"Trades","child and youth worker"
"Trades","child care worker"
"Trades","child protection worker"
"Trades","circulation clerk"
"Trades","citizen activist"
"Trades","claimant services officer"
"Trades","claims examiner"
"Trades","claims manager"
"Trades","clayworker"
"Trades","cleaner"
"Trades","clerical"
"Trades","clerical worker"
"Trades","clerk"
"Trades","clerk accountant"
"Trades","clerk druggist"
"Trades","clerk typist"
"Trades","clerk, accountant"
"Trades","clerk, merchant"
"Trades","clerk, pharmacist"
"Trades","clerk, supervisor"
"Trades","clerk, treasurer"
"Trades","clerk/sales representative"
"Trades","clerk/student"
"Trades","client care attendant"
"Trades","client service advisor"
"Trades","clinical counsellor"
"Trades","clinical secretary"
"Trades","clinical social worker"
"Trades","clock repairing"
"Trades","clothier"
"Trades","club steward"
"Trades","CN clerk"
"Trades","CN conductor"
"Trades","CN train conductor - farmer"
"Trades","CNR checker"
"Trades","CNR clerk"
"Trades","CNR employee"
"Trades","CNR office clerk"
"Trades","co-ordinator"
"Trades","co-ordinator (senior citizens)"
"Trades","co-ordinator of services"
"Trades","co-ordinator of special needs"
"Trades","coal miner"
"Trades","coast guard"
"Trades","college recreation co-ordinator"
"Trades","college student"
"Trades","colour technician"
"Trades","commercial air pilot"
"Trades","commercial and residential Realtor"
"Trades","commercial fisher"
"Trades","commercial fisherman"
"Trades","commercial pilot"
"Trades","commercial printer"
"Trades","commercial sign painter"
"Trades","communication and consultation manager"
"Trades","communication consultant"
"Trades","communication specialist"
"Trades","communications"
"Trades","communications consultant"
"Trades","communications counsellor"
"Trades","communications director"
"Trades","communications manager"
"Trades","communications officer"
"Trades","communications service rep"
"Trades","communications specialist"
"Trades","communications supervisor"
"Trades","communications technician"
"Trades","communications worker"
"Trades","communicator"
"Trades","composer-searcher"
"Trades","compositor"
"Trades","compound machine operator"
"Trades","comptroller"
"Trades","comptroller and agricultural secretary"
"Trades","computer analyst"
"Trades","computer graphic artist"
"Trades","computer graphics designer"
"Trades","computer graphics technician"
"Trades","computer integrator"
"Trades","computer librarian"
"Trades","computer maintenance engineer"
"Trades","computer monitor technician"
"Trades","computer network manager"
"Trades","computer network technician"
"Trades","computer operator"
"Trades","computer programmer"
"Trades","computer programmer, analyst"
"Trades","computer sales and marketing specialist"
"Trades","computer salesperson"
"Trades","computer science student"
"Trades","computer scientist"
"Trades","computer security"
"Trades","computer service manager"
"Trades","computer specialist"
"Trades","computer support technician"
"Trades","computer system administrator"
"Trades","computer system manager"
"Trades","computer system support officer"
"Trades","computer systems analyst"
"Trades","computer systems consultant"
"Trades","computer systems manager"
"Trades","computer systems technician"
"Trades","computer technician"
"Trades","computer technician/car jockey"
"Trades","computer technologist"
"Trades","computer trainer"
"Trades","computer/network consultant"
"Trades","concession services manager"
"Trades","conductor"
"Trades","conductor, trainman"
"Trades","conductor/locomotive operator"
"Trades","confectionery manufacturer"
"Trades","conservationist"
"Trades","construction"
"Trades","construction builder"
"Trades","construction consultant"
"Trades","construction contractor"
"Trades","construction estimator"
"Trades","construction executive"
"Trades","construction foreman"
"Trades","construction labourer"
"Trades","construction manager"
"Trades","construction plumber"
"Trades","construction project manager"
"Trades","construction site safety insp."
"Trades","construction sub-foreman"
"Trades","construction superintendent"
"Trades","construction supervisor"
"Trades","construction supplier"
"Trades","construction worker"
"Trades","construction, carpenter"
"Trades","consultant/retired"
"Trades","consultant/truck driver"
"Trades","contract employee"
"Trades","contract handicap driver"
"Trades","contract labour"
"Trades","contract negotiator"
"Trades","contract worker"
"Trades","control clerk"
"Trades","control operator"
"Trades","control room operator"
"Trades","control technician"
"Trades","control technologist"
"Trades","conveyancer"
"Trades","cook"
"Trades","cooling system contractor"
"Trades","coordinator"
"Trades","coppersmith"
"Trades","counsel/criminologist"
"Trades","counsellor"
"Trades","counsellor and educator"
"Trades","counsellor for hearing-impaired, mentally handicapped"
"Trades","courier"
"Trades","courier proprietor"
"Trades","courier/mechanic assistant"
"Trades","course material representative"
"Trades","couturier"
"Trades","CP rail car man"
"Trades","CPR agent"
"Trades","CPR time-keeper"
"Trades","craftsman"
"Trades","crane operator"
"Trades","creamery operator"
"Trades","creative designer"
"Trades","creative services - logistic"
"Trades","crisis pregnancy counsellor"
"Trades","crisis worker"
"Trades","critical care monitoring equipment specialist"
"Trades","croupier"
"Trades","custodian"
"Trades","custom furrier"
"Trades","dairy clerk"
"Trades","data processing consultant"
"Trades","data processing manager"
"Trades","data processing systems analyst"
"Trades","data technician"
"Trades","database & direct communication manager"
"Trades","day care operator"
"Trades","day care teacher"
"Trades","day labourer"
"Trades","day worker"
"Trades","day-worker"
"Trades","deck hand"
"Trades","deckhand"
"Trades","decorator"
"Trades","delivery clerk"
"Trades","delivery driver"
"Trades","delivery man"
"Trades","delivery person"
"Trades","deliveryman"
"Trades","dental office administrator"
"Trades","dental technician"
"Trades","design coordinator"
"Trades","design draftsman"
"Trades","design professional"
"Trades","design-builder"
"Trades","designer"
"Trades","desktop publisher"
"Trades","detective"
"Trades","development co-ordinator"
"Trades","development manager"
"Trades","development officer"
"Trades","developmental social worker"
"Trades","diamond driller"
"Trades","diamond setter"
"Trades","die caster, factory worker"
"Trades","die maker"
"Trades","diesel mechanic"
"Trades","dietary aide"
"Trades","dietary worker"
"Trades","dietetics worker"
"Trades","dietician"
"Trades","dietitian"
"Trades","digital marketing"
"Trades","dilettante"
"Trades","dingman"
"Trades","dining room operator"
"Trades","dir. com. res. living bd."
"Trades","dir. human services program"
"Trades","disabled"
"Trades","disabled worker"
"Trades","disc jockey"
"Trades","dispatcher"
"Trades","display advertising"
"Trades","distiller"
"Trades","distribution and maintenance assistant"
"Trades","distribution centre associate"
"Trades","distribution clerk"
"Trades","documentalist"
"Trades","documentation assistant"
"Trades","dog trainer"
"Trades","domestic services"
"Trades","domesticated engineer"
"Trades","donor services coordinator"
"Trades","door attendant"
"Trades","door manufacturer"
"Trades","draftsman"
"Trades","draftsman, civil engineer"
"Trades","draftsperson"
"Trades","draughtsman"
"Trades","dreamer"
"Trades","dress cutter"
"Trades","driller"
"Trades","driller, blaster"
"Trades","driver"
"Trades","driver  salesman"
"Trades","driver and supervisor"
"Trades","driver contractor"
"Trades","driver representative"
"Trades","drover"
"Trades","drug clerk"
"Trades","drugs and medicine manufacturer"
"Trades","drugstore clerk"
"Trades","drysalter"
"Trades","drywall contractor"
"Trades","dye caster"
"Trades","dye machine operator"
"Trades","dyer"
"Trades","early retiree"
"Trades","earth caretaker"
"Trades","ecological designer"
"Trades","education"
"Trades","education administrator"
"Trades","education advisor"
"Trades","education analyst"
"Trades","education and research assistant"
"Trades","education co-ordinator"
"Trades","education consultant"
"Trades","education coordinator"
"Trades","education officer"
"Trades","education support worker"
"Trades","education worker"
"Trades","educational administration"
"Trades","educational administrator"
"Trades","educational assistant"
"Trades","educational consultant"
"Trades","educational consultant, professor"
"Trades","educational director"
"Trades","educational research assistant"
"Trades","educational researcher"
"Trades","educational superintendent"
"Trades","educational T.V. co-ordinator"
"Trades","electric motor winder"
"Trades","electrical drafting"
"Trades","electrical motor mechanic"
"Trades","electrical superintendent"
"Trades","electrical supervisor"
"Trades","electrical technician"
"Trades","electrical technologist"
"Trades","electrical worker"
"Trades","electrician"
"Trades","electrician and powerline technician"
"Trades","electrician foreman"
"Trades","electrologist"
"Trades","electronic engineer"
"Trades","electronic manufacturer"
"Trades","electronic technician"
"Trades","electronic technologist"
"Trades","electronics"
"Trades","electronics advisor"
"Trades","electronics assembler"
"Trades","electronics engineering technician"
"Trades","electronics specialist"
"Trades","electronics technician"
"Trades","electronics technologist"
"Trades","elevator manager"
"Trades","elevator superintendent"
"Trades","EMC compliance Technologist"
"Trades","emergency services operator"
"Trades","employee"
"Trades","enameler"
"Trades","engineman"
"Trades","engraver"
"Trades","engraver, printer"
"Trades","environmental activist"
"Trades","environmental canvasser"
"Trades","equipment manager"
"Trades","equipment monitor"
"Trades","equipment operator"
"Trades","estimating manager"
"Trades","estimating supervisor"
"Trades","examination centre administrator"
"Trades","executive administrative assistant"
"Trades","executive administrator"
"Trades","executive assistant"
"Trades","expediter"
"Trades","express motorman"
"Trades","extension worker"
"Trades","facility manager"
"Trades","factory foreman"
"Trades","factory labourer"
